limit_balance,age,education_clean,marriage_clean,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month
380000,53,3,1,-2,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
240000,43,2,1,-2,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20000000,38,1,1,-2,-2,-2,-2,-2,-2,-3,687.0,2740.0,2044,1614.0,2066.0,690.0,2753.0,2054.0,1622.0,2076.0,578.0,0
240000,47,2,2,-2,-2,-2,-2,-2,-2,316,21359.0,2762.0,10264,316.0,9801.0,21359.0,2762.0,10318.0,316.0,17677.0,31600.0,0
20000000,28,1,2,-2,-2,-2,-2,-2,-2,3330,2665.0,115323.0,21547,4056.0,3180.0,2686.0,115916.0,21722.0,4076.0,3196.0,17660.0,0
20000000,30,2,1,-2,-2,-2,-2,-2,-2,0,0.0,441.0,653,500.0,600.0,0.0,441.0,653.0,500.0,600.0,751.0,0
30000000,54,1,1,-2,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
280000,49,1,1,-2,-2,-2,-2,-2,-2,11797,6163.0,-54.0,-54,-54.0,-54.0,6231.0,0.0,0.0,0.0,0.0,0.0,0
280000,27,1,2,-2,-2,-2,-2,-2,-2,-5,-5.0,-5.0,8164,0.0,1133.0,0.0,0.0,8169.0,0.0,231133.0,3300.0,0
170000,47,3,1,-2,-2,-2,-2,-2,-2,1521,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
420000,47,1,1,-2,-2,-2,-2,-2,-2,46179,82842.0,77628.0,52294,0.0,0.0,84459.0,79192.0,57145.0,0.0,0.0,0.0,0
260000,51,3,1,-2,-2,-2,-2,-2,-2,1821,7091.0,1546.0,37708,4080.0,11036.0,7091.0,1555.0,37708.0,303.0,7500.0,0.0,0
260000,30,1,2,-2,-2,-2,-2,-2,-2,-7,-7.0,-7.0,1544,-43.0,-43.0,0.0,0.0,1551.0,0.0,0.0,0.0,0
140000,51,2,1,-2,-2,-2,-2,-2,-2,4885,649.0,-9.0,-9,3177.0,-10.0,650.0,0.0,0.0,3186.0,0.0,0.0,0
20000,41,3,3,-2,-2,-2,-2,-2,-2,2795,198.0,2310.0,973,406.0,1317.0,941.0,3637.0,973.0,406.0,2228.0,1923.0,0
340000,39,2,1,-2,-2,-2,-2,-2,-2,93767,65758.0,353.0,5674,3344.0,3406.0,65758.0,359.0,5674.0,3692.0,3406.0,2622.0,0
280000,32,2,2,-2,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
260000,42,1,1,-2,-2,-2,-2,-2,-2,387,616.0,450.0,773,268.0,402.0,616.0,450.0,773.0,268.0,402.0,334.0,0
